,text,favorited,favoriteCount,replyToSN,created,truncated,replyToSID,id,replyToUID,statusSource,screenName,retweetCount,isRetweet,retweeted
1,RT @rssurjewala: Critical question: Was PayTM informed about #Demonetization edict by PM? It's clearly fishy and requires full disclosure &amp;ﾅ,FALSE,0,NA,2016-11-23 18:40:30,FALSE,NA,801495656976318000,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",HASHTAGFARZIWAL,331,TRUE,FALSE
2,RT @Hemant_80: Did you vote on #Demonetization on Modi survey app?,FALSE,0,NA,2016-11-23 18:40:29,FALSE,NA,801495654778413000,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",PRAMODKAUSHIK9,66,TRUE,FALSE
3,"RT @roshankar: Former FinSec, RBI Dy Governor, CBDT Chair + Harvard Professor lambaste #Demonetization.

If not for Aam Aadmi, listen to thﾅ",FALSE,0,NA,2016-11-23 18:40:03,FALSE,NA,801495544266822000,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",rahulja13034944,12,TRUE,FALSE
4,RT @ANI_news: Gurugram (Haryana): Post office employees provide cash exchange to patients in hospitals #demonetization https://t.co/uGMxUP9ﾅ,FALSE,0,NA,2016-11-23 18:39:59,FALSE,NA,801495527024161000,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",deeptiyvd,338,TRUE,FALSE
5,RT @satishacharya: Reddy Wedding! @mail_today cartoon #demonetization #ReddyWedding https://t.co/u7gLNrq31F,FALSE,0,NA,2016-11-23 18:39:39,FALSE,NA,801495445583360000,NA,"<a href=""http://cpimharyana.com"" rel=""nofollow"">CPIMBadli</a>",CPIMBadli,120,TRUE,FALSE
6,"@DerekScissors1: Indiaﾒs #demonetization: #Blackmoney a symptom, not the disease https://t.co/HSl6Ihj0Qe via @ambazaarmag",FALSE,0,DerekScissors1,2016-11-23 18:39:11,FALSE,NA,801495326439965000,2586266100,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",ambazaarmag,0,FALSE,FALSE
7,RT @gauravcsawant: Rs 40 lakh looted from a bank in Kishtwar in J&amp;K. Third such incident since #demonetization. That's how terrorists haveﾅ,FALSE,0,NA,2016-11-23 18:38:53,FALSE,NA,801495248710967000,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",bhodia1,637,TRUE,FALSE
8,"RT @Joydeep_911: Calling all Nationalists to join...
Walk for #CorruptionFreeIndia and spread the benefits of #Demonetization among the masﾅ",FALSE,0,NA,2016-11-23 18:38:20,FALSE,NA,801495113092497000,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",KARUNASHANKEROJ,112,TRUE,FALSE
9,"RT @sumitbhati2002: Many opposition leaders are with @narendramodi on the #Demonetization 
And respect their decision,but support oppositioﾅ",FALSE,0,NA,2016-11-23 18:38:09,FALSE,NA,801495064270795000,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",sumitbhati2002,1,TRUE,FALSE
10,National reform now destroyed even the essence of sagan. Such instances urge giving #demonetization a second thoughﾅ https://t.co/eyySIREiUq,FALSE,0,NA,2016-11-23 18:38:00,TRUE,NA,801495027645940000,NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Mobile Web (M5)</a>",HelpIndia2016,0,FALSE,FALSE
